,latitude,longitude,altitude,x_relative,y_relative,z_relative,latitude_origin,longitude_origin
0,48.784070848805534,11.473720911513887,419.1118250000007,41.53005364606603,-59.557038698764515,44.54682500000005,48.78461825000001,11.473182400000024
1,48.78420355077463,11.474028673180754,418.99592957746466,63.6555244417625,-44.07289793274143,44.43092957746479,48.78461824999997,11.473182400000027
2,48.78466243294251,11.47358209786207,418.95199310344816,29.197594449725322,5.8647380515868806,44.38699310344827,48.784618249999966,11.473182400000027
3,48.784694492308844,11.473513929189597,419.01887614678884,24.07492707145599,9.265355661767748,44.453876146789014,48.7846182499999,11.47318240000003
4,48.78470359423611,11.473431267281752,419.09426190476177,17.97067693403473,10.079725299729034,44.52926190476193,48.78461824999994,11.473182400000029
5,48.7846920096686,11.473349853986742,419.04950568181795,12.032847004496778,8.597828860876193,44.48450568181815,48.78461824999993,11.473182400000029
6,48.78391246969137,11.471522856975307,418.9595555555558,-119.34379192881637,-82.404733266371,44.39455555555557,48.784618249999944,11.473182400000029
7,48.783568321900624,11.470713591637411,418.9513333333331,-177.54235045211757,-122.58553000572219,44.38633333333328,48.78461825000002,11.473182400000024
8,48.78357767188404,11.470655142536232,418.8800434782608,-181.86916565427563,-121.685644665571,44.315043478260826,48.78461824999998,11.473182400000027
9,48.7834708995302,11.470401436040273,418.9296577181203,-200.11875534658054,-134.157924580094,44.36465771812079,48.78461824999996,11.473182400000027
10,48.78344698950621,11.470394225592598,418.9423777777778,-200.5621171170725,-136.8326524095403,44.37737777777777,48.78461824999998,11.473182400000026
11,48.78329821197224,11.470540907430562,419.1604833333332,-189.25162307287198,-153.01924976152367,44.595483333333355,48.78461825000001,11.473182400000024
12,48.783294990371616,11.47057374915541,419.17015540540507,-186.82776467957788,-153.2990321989637,44.60515540540543,48.784618249999966,11.473182400000027
13,48.783403072249335,11.470827351205953,419.1815365853656,-168.5905319003481,-140.68140874337405,44.61653658536584,48.78461825,11.473182400000026
14,48.78344461824832,11.47084041722789,419.1895102040815,-167.78071844711548,-136.03252250458854,44.624510204081595,48.784618250000065,11.47318240000002
15,48.783788489143724,11.471640449051982,419.1285137614678,-110.25927478270798,-95.90442409049378,44.56351376146793,48.78461825000004,11.473182400000022
16,48.784263165298256,11.472755643157894,419.1603789473684,-30.062537029433358,-40.485106589949055,44.59537894736842,48.78461825000007,11.47318240000002
17,48.78428021146931,11.47283861640351,419.10202631578915,-24.029789135451306,-38.39249067763357,44.53702631578946,48.7846182500001,11.473182400000015
18,48.78427032823688,11.472918844352611,419.24455371900854,-18.10144607157327,-39.299555150792,44.67955371900827,48.78461825000001,11.473182400000024
19,48.784242085833355,11.472987116222233,419.3455,-12.984967951400904,-42.27571944114752,44.7805,48.78461825000001,11.473182400000024
20,48.7839042043488,11.47333089935982,419.4679602649008,13.485793046393457,-79.01000924321471,44.902960264900706,48.78461824999996,11.473182400000027
21,48.784070848805534,11.473720911513887,419.1118250000007,41.53005364606603,-59.557038698764515,44.54682500000005,48.78461825000001,11.473182400000024
