,latitude,longitude,altitude,x_relative,y_relative,z_relative,latitude_origin,longitude_origin
0,48.7842035507746,11.4740286731808,418.995929577465,33.2,-0.4,44.4309295774648,48.78461825,11.4731824
1,48.7846624329425,11.4735820978621,418.951993103448,29.1975944497253,5.86473805158688,44.3869931034483,48.78461825,11.4731824
2,48.7846944923088,11.4735139291896,419.018876146789,24.074927071456,9.26535566176775,44.453876146789,48.7846182499999,11.4731824
3,48.7847035942361,11.4734312672818,419.094261904762,17.9706769340347,10.079725299729,44.5292619047619,48.7846182499999,11.4731824
4,48.7846920096686,11.4733498539867,419.049505681818,12.0328470044968,8.59782886087619,44.4845056818182,48.7846182499999,11.4731824
5,48.7839124696914,11.4715228569753,418.959555555556,-119.343791928816,-82.404733266371,44.3945555555556,48.7846182499999,11.4731824
6,48.7835683219006,11.4707135916374,418.951333333333,-177.542350452118,-122.585530005722,44.3863333333333,48.78461825,11.4731824
7,48.783577671884,11.4706551425362,418.880043478261,-181.869165654276,-121.685644665571,44.3150434782608,48.78461825,11.4731824
8,48.7834708995302,11.4704014360403,418.92965771812,-200.118755346581,-134.157924580094,44.3646577181208,48.78461825,11.4731824
9,48.7834469895062,11.4703942255926,418.942377777778,-200.562117117072,-136.83265240954,44.3773777777778,48.78461825,11.4731824
10,48.7832982119722,11.4705409074306,419.160483333333,-189.251623072872,-153.019249761524,44.5954833333334,48.78461825,11.4731824
11,48.7832949903716,11.4705737491554,419.170155405405,-186.827764679578,-153.299032198964,44.6051554054054,48.78461825,11.4731824
12,48.7834030722493,11.470827351206,419.181536585366,-168.590531900348,-140.681408743374,44.6165365853658,48.78461825,11.4731824
13,48.7834446182483,11.4708404172279,419.189510204081,-167.780718447115,-136.032522504589,44.6245102040816,48.7846182500001,11.4731824
14,48.7837884891437,11.471640449052,419.128513761468,-110.259274782708,-95.9044240904938,44.5635137614679,48.78461825,11.4731824
15,48.7842631652983,11.4727556431579,419.160378947368,-30.0625370294334,-40.4851065899491,44.5953789473684,48.7846182500001,11.4731824
